iso_code	sil_code	wals_code	population	raw_population
adt	ADT	adn	20	20 (1990 Schmidt).
adx	ADX	amd	809500	809,500 (1987 Wurm et al.). Population includes 538,500 Hbrogpa, 97,600 Rongba, 112,800 Rongmahbrogpa, 60,600 Rtahu.
ady	ADY	ady	499180	125,000 in Russia (1993 UBS). Population total all countries: 499,180.
ady	ADY	ash	499180	125,000 in Russia (1993 UBS). Population total all countries: 499,180.
ady	ADY	adt	499180	125,000 in Russia (1993 UBS). Population total all countries: 499,180.
aeb	AEB	atu	9247800	9,000,000 in Tunisia (1995). Population total all countries: 9,247,800.
aed	AED	lsa	No	No estimate available.
aer	AER	arr	2175	2,175 (2000 WCD).
aer	AER	amp	2175	2,175 (2000 WCD).
aes	AES	als	Extinct	Extinct.
aey	AMI	ame	5300	5,300 (1987 SIL).
afb	AFB	arg	2338600	40,000 in Iraq. Population total all countries: 2,338,600.
afn	AFN	def	200	200 (2001 Blench).
afr	AFK	afr	5965879	5,811,547 in South Africa (1996 census). Population total all countries: 5,965,879.
afz	AFZ	obk	120	120 (2000 Wurm).
agd	AGD	aga	26996	26,996 (2000 census).
agg	AGG	ang	1266	1,266 (1990 census). Population includes 836 in Nai, 430 in Samanai.
agh	AGH	leb	13588	13,588 (2000 WCD).
agm	AGM	ant	2100	2,100 (2003 BTA).
agq	AGQ	agh	26727	26,727 (2000 WCD).
agr	AGR	agr	38290	38,290 (2000 WCD). Almost no monolinguals.
agt	AGT	agc	779	779 (2000 WCD).
agu	AGU	agu	18000	18,000 (1998 SIL).
agx	AGX	agl	17405	17,373 in Russia (1989 census). Population total all countries: 17,405. Ethnic population: 17,728 in Russia (1989 census).
ahg	QIM	kem	1650	1,650 in Ethiopia (1998 census). Ethnic population: 172,327 (1998 census).
ahh	AHH	ahu	3000	3,000 (1987 SIL).
ahk	AKA	akh	449261	200,000 in Myanmar (1991 UBS). Population total all countries: 449,261.
ahp	AHP	aiz	6500	6,500 (1999 SIL).
aht	AHT	aht	80	80 (1995 M. Krauss). Ethnic population: 500 (1995 M. Krauss).
aia	AIA	aro	6750	6,750 (1999 SIL).
aib	AIB	ayn	6570	6,570 (2000).
aie	AIE	ama	1170	1,170 (2000 D. Tryon).
aii	AII	nsy	210231	30,000 in Iraq (1994). Population total all countries: 210,231. Ethnic population: 4,250,000 (1994).
aij	AIJ	naj	2000	2,000 to 2,500 (1994 H. Mutzafi).
ain	AIN	ain	15	15 in Japan (1996 Alexander Vovin). Ethnic population: 15,000 in Japan.
aiz	AIZ	aar	158857	158,857 (1998 census). 129,350 monolinguals. Ethnic population: 155,002 (1989 census).
aja	AJA	aja	200	200 (1993 SIL).
aji	AJI	aji	4044	4,044 (1996 census).
ajp	AJP	arv	6145000	3,500,000 in Jordan (1996). Population total all countries: 6,145,000.
ajp	AJP	apa	6145000	3,500,000 in Jordan (1996). Population total all countries: 6,145,000.
aka	TWS	akn	8300000	8,300,000 (2004 SIL). Population includes 2,800,000 Asante Twi, 1,900,000 Fante, 555,000 Akuapem Twi (2004).
akc	AKC	mpu	7000	7,000 (1993).
ake	ARB	akw	5000	4,500 in Guyana, (2002 SIL). Population total all countries: 5,000.
akl	AKL	akl	394545	394,545 (1990 census).
akr	AKR	ark	8	8
akv	AKV	axv	3500	3,500 (1990). Ethnic population: 3,500 (1990 A. E. Kibrik).
akx	AKX	akk	Extinct	Extinct.
akz	AKZ	abm	100	100 (1997 Timothy Montler). Ethnic population: 500 to 600 (1990 Heather Hardy).
alc	ALC	qaw	20	20 (1996 Oscar Aguilera). Population includes 10 in Puerto Edin.
ald	ALD	ald	23000	23,000 (1993 SIL).
ale	ALW	ale	490	300 in the USA (1995 M. Krauss). Population total all countries: 490. Ethnic population: 2,000 (1995 M. Krauss).
ale	ALW	aea	490	300 in the USA (1995 M. Krauss). Population total all countries: 490. Ethnic population: 2,000 (1995 M. Krauss).
alh	ALH	alw	17	17 to 20 (1991 M. Sharpe). There are 4 partial first-language speakers.
aln	ALS	alb	2779246	1,793,911 in Serbia and Montenegro (2000 WCD). Population includes 50,000 in Montenegro. Population total all countries: 2,779,246. Ethnic population: 2,000,000 (1998 Los Angeles Times).
alo	ALO	lrk	12557	12,557 (1987 SIL).
alp	ALP	aln	17243	17,243 (2000 WCD).
alq	ALG	alg	2275	2,275 (1998 Statistics Canada). Less than 10% monolinguals. Ethnic population: 5,000 (1987 SIL).
alr	ALR	alu	100	100 to 200 (2000 A. E. Kibrik). Ethnic population: 2,000 (1997 M. Krauss).
alt	ALT	aso	20000	20,000 (1993 Janhunen). Ethnic population: 68,686.
alu	ALU	arx	17800	17,800 (1999 SIL).
aly	ALY	aly	1500	1,500 (1991 Hoogenrad).
amc	AMC	amc	310	90 to 130 in Peru (2000 SIL). 20 monolinguals. Population total all countries: 310. Ethnic population: 500 (300 in Peru and 200 in Brazil). Perhaps 50 in the border areas have not been contacted.
ame	AME	amu	9831	9,831 (2000 WCD). Ethnic population: 10,000 (2000 W. Adelaar).
amf	AMF	hmr	42838	42,838 (1998 census). 38,354 monolinguals (1998 census). Ethnic population: 42,466 (1998 census).
amh	AMH	amh	17417913	17,372,913 in Ethiopia (1998 census). 14,743,556 monolinguals. Population total all countries: 17,417,913. Ethnic population: 16,007,933 (1998 census).
ami	ALV	ami	137651	137,651 (2002 Council of Indigenous Peoples, Executive Yuan, ROC). Ethnic population: 137,651.
amk	AMK	amq	10053	10,053 (2000 WCD).
amn	AMN	amn	4419	4,419 (2003 SIL).
amo	AMO	amo	12263	12,263 (2000 WCD).
amp	AMP	ala	1527	1,527 (2000 census).
amr	AMR	amk	500	500 (1987 SIL).
amu	AMU	amz	23000	23,000 (1990 census). 10,000 monolinguals (1990 census).
amy	AMY	emm	30	30 to 35 (1983 Black).
anc	ANC	anc	400000	400,000 (1998 SIL).
ane	ANE	xar	3784	3,784 (1996 census).
anh	ANH	nnd	2000	2,000 (1991 UBS).
ani	ANI	anx	10000	10,000 (1993 UBS). Ethnic population: 20,000 (1990 A. E. Kibrik).
ank	ANK	goe	200000	200,000 (1995).
ann	ANN	obo	200000	200,000 (1996 National Population Commission).
ano	ANO	adk	619	619 (2000 WCD). 50 monolinguals. Extinct in Peru (1992 SIL). There were 10,000 in 1908 (Landaburu 1979).
anq	ANQ	jrw	300	300 (2001 CIIL). 300 monolinguals. Ethnic population: 300 (1999 report).
anu	ANU	any	97646	52,000 in Sudan (1991 UBS). Population total all countries: 97,646.
any	ANY	ayi	860000	610,000 in Côte d'Ivoire (1993 SIL). Population total all countries: 860,000.
anz	ANZ	ane	550	550 (2003 SIL).
aoa	AOA	ago	5000	5,000 (1998 S. and T. Graham).
aoc	AOC	pem	6154	5,000 in Venezuela (2001 Becsky). Many are monolingual. Population total all countries: 6,154. Ethnic population: 18,871 in Venezuela (1993 census, may include Macushi).
aoi	AOI	ann	1000	1,000 (1983 Black).
aom	AOM	omi	800	800 (1993 SIL). 400 monolinguals.
aon	AON	arp	4335	4,335 (2003 SIL).
apb	APB	saa	11519	11,519 (1999 SIL). Population includes 7,298 Sa'a, 3,304 Ulawa, and 917 Uki Ni Masi.
apc	APC	abe	14309537	8,800,000 in Syria (1991). Population includes 6,000,000 in Lebanese-Central Syrian, 1,000,000 in North Syrian. Population total all countries: 14,309,537.
apc	APC	arl	14309537	8,800,000 in Syria (1991). Population includes 6,000,000 in Lebanese-Central Syrian, 1,000,000 in North Syrian. Population total all countries: 14,309,537.
apc	APC	anl	14309537	8,800,000 in Syria (1991). Population includes 6,000,000 in Lebanese-Central Syrian, 1,000,000 in North Syrian. Population total all countries: 14,309,537.
apc	APC	asy	14309537	8,800,000 in Syria (1991). Population includes 6,000,000 in Lebanese-Central Syrian, 1,000,000 in North Syrian. Population total all countries: 14,309,537.
ape	APE	arp	16233	16,233 (2003 SIL).
aph	APH	ath	2000	2,000 (1995 Ebert). 439,312 all Rai languages (1991 census).
apj	APJ	apj	812	812 (1990 census). Ethnic population: 2,000 (1977 SIL).
apm	APM	apc	1800	1,800 (1977 SIL). Population includes 279 Chiricahua speakers (1990 census). Ethnic population: 2,395 (2000).
apn	APN	api	800	800 (1994 SIL).
apq	APQ	apk	24	24 (2000 Verma).
apq	APQ	gan	24	24 (2000 Verma).
apr	APR	alk	3015	3,015 (2000 census).
apt	APT	apt	23000	23,000 (1997).
apu	APU	apu	2000	2,000 (1994 SIL).
apw	APW	apw	12693	12,693 (1990 census). 303 in San Carlos.
apy	APA	apl	450	450 (1993 SIL). 100 monolinguals.
apz	APZ	ape	2388	2,388 (1980 census).
aqc	ARC	arc	1000	1,000 (2000). Ethnic population: 1,000 (1990 A. E. Kibrik).
aqp	ALE	atk	Extinct	Extinct.
arb	ABV	ams	206000000	206,000,000 first-language speakers of all Arabic varieties (1999 WA).
ard	ARD	abn	8	8 (1981 Wurm and Hattori).
are	ARE	arr	1000	1,000 (1981 Wurm and Hattori).
are	ARE	awe	1000	1,000 (1981 Wurm and Hattori).
arh	ARH	ika	14301	14,301 (1998 Arango and Sánchez). 90% are monolingual. Ethnic population: 14,301.
ari	ARI	akr	20	20 (1997 Parks). Ethnic population: 3,000.
arl	ARL	arb	50	50 (2002 SIL). Ethnic population: 500 (2002 SIL).
arn	ARU	map	300000	200,000 in Chile (1982 SIL). Population total all countries: 300,000. Ethnic population: 928,000 (1992 census).
aro	ARO	ana	81	81 (2000 Adelaar). Ethnic population: 90 (2000 W. Adelaar).
arp	ARP	aho	1038	1,038 (1990 census). Ethnic population: 5,000 (1977 SIL).
arr	ARR	kaa	150	150 (2000 SIL).
arv	ARV	abo	4441	4,441 (1998 census). 3,907 monolinguals (1998 census). Ethnic population: 6,559 (1998 census).
arw	ARW	ara	2450	700 in Suriname (1980 census). Population total all countries: 2,450. Ethnic population: 2,051 in Suriname (1980 census).
ary	ARY	amr	19480600	18,800,000 in Morocco (1995). Population total all countries: 19,480,600.
arz	ARZ	aeg	46321000	44,406,000 in Egypt (1998). Population total all countries: 46,321,000.
asa	ASA	pre	500000	500,000 (2000). 5% monolingual.
ase	ASE	asl	100000	100,000 to 500,000 primary users (1986 Gallaudet Univ.) out of nearly 2,000,000 profoundly deaf persons in the USA (1988), 0.8% of the USA population. 15,000,000 hard of hearing persons in the USA (1989 Sacks).
asf	ASF	aus	14000	14,000 (1991 Hyde and Power).
asm	ASM	ass	15374000	15,334,000 in India (1997). Population total all countries: 15,374,000.
ast	AUB	ast	125039	100,000 in Spain (1994). Population includes 50,000 in Central Asturian, 30,000 in Western Asturian, 20,000 in Eastern Asturian. Population total all countries: 125,039. Ethnic population: 550,000 (1996).
asu	ASU	asu	191	191 (1995 AMTB).
atj	TET	ati	3995	3,995 (1998 Statistics Canada).
atq	ATQ	atb	12000	12,000 (1984 SIL).
atw	ATW	ats	3	3 (1994 L. Hinton). Ethnic population: 200 (1977 SIL). 1,350 with Achumawi (2000 A. Yamamoto).
aty	ATY	anj	600	600 (1983 SIL).
auc	AUC	wao	1650	1,650 (2004). Ethnic population: 1,400 (2000 SIL).
aul	AUL	aul	300	300 (1983 SIL).
aun	AUN	one	500	500 (2000 Crowther). Ethnic population: 500 (2000).
auw	AUW	awy	350	350 (2000 Wurm).
auy	AUY	auy	11110	11,110 (2000).
ava	AVR	ava	600959	556,000 in Russia (1989 census). Population total all countries: 600,959.
avn	AVA	avt	24000	24,000 (2003).
avt	AVT	au	8000	8,000 (2000 census). 20% monolingual.
avu	AVU	avo	65000	40,000 in Sudan (2002). Population total all countries: 65,000.
awa	AWD	awd	20560744	20,000,000 in India (1999). Population total all countries: 20,560,744.
awb	AWB	awa	2054	2,054 (2003 SIL).
awi	AWI	awi	8000	8,000 (1987 UBS).
awn	AWN	awn	356980	356,980 (1998 census). 279,326 monolinguals. Ethnic population: 397,491 (1998 census).
axk	AXK	aka	30000	15,000 in Central African Republic (1996). Population total all countries: 30,000.
ayc	AYC	aym	No	No estimate available.
ayl	AYL	ael	4505000	4,200,000 in Libya (1995). Population total all countries: 4,505,000.
ayn	AYN	ars	7600000	7,600,000 (1996).
ayo	AYO	ayr	3771	3,000 in Paraguay (1991). Population total all countries: 3,771.
ayr	AYM	aym	2227642	1,785,000 in Bolivia (1987). Population total all countries: 2,227,642.
ayz	AYZ	may	20000	20,000 (1987 SIL).
azb	AZB	azi	24364000	23,500,000 in Iran (1997). Population includes 290,000 Afshar, 5,000 Aynallu, 7,500 Baharlu, 1,000 Moqaddam, 3,500 Nafar 1,000 Pishagchi, 3,000 Qajar, 2,000 Qaragozlu, 130,000 Shahsavani (1993). Population total all countries: 24,364,000.
azb	AZB	aze	24364000	23,500,000 in Iran (1997). Population includes 290,000 Afshar, 5,000 Aynallu, 7,500 Baharlu, 1,000 Moqaddam, 3,500 Nafar 1,000 Pishagchi, 3,000 Qajar, 2,000 Qaragozlu, 130,000 Shahsavani (1993). Population total all countries: 24,364,000.
azj	AZE	aze	7059529	6,069,453 in Azerbaijan (1989 census). 4,000,000 monolinguals. Population total all countries: 7,059,529.
azr	AZR	adz	20675	20,675 (1988 Holzknecht). Population includes 367 Ngariawan (1978 McElhanon), 497 Sarasira (1988 Holzknecht), 990 Sukurum (1990).
azz	AZZ	nsz	125000	125,000 (1983).
bae	BAE	bae	Extinct	Extinct. Ethnic population: Perhaps 238 (1975 Gaceta Indigenista).
bag	BAG	tki	26000	26,000 (1982 SIL).
bak	BXK	bsk	1871383	1,800,000 in Russia (2001 Johnstone and Mandryk). Population total all countries: 1,871,383.
bam	BRA	bam	2786385	2,700,000 in Mali (1995). Population includes 75,000 Ganadugu (1991 Vanderaa), 41,200 Wasulu. Population total all countries: 2,786,385.
ban	BZC	bal	3900000	3,900,000 (2001 Johnstone and Mandryk).
bao	BAO	bno	700	600 in Colombia (1995 SIL). Almost no monolinguals. Population total all countries: 700.
bar	BAR	gba	7667478	6,983,298 in Austria (2000 WCD). Population total all countries: 7,667,478.
bar	BAR	gau	7667478	6,983,298 in Austria (2000 WCD). Population total all countries: 7,667,478.
bar	BAR	gvi	7667478	6,983,298 in Austria (2000 WCD). Population total all countries: 7,667,478.
bas	BAA	bas	230000	230,000 (1982 SIL).
bav	BAV	bab	13500	13,500 (1982 SIL).
baw	BAW	mbi	10000	10,000 (1983 Atlas Linguistique du Cameroun).
bax	BAX	bmn	215000	215,000 (1982 SIL).
baz	BAZ	tnn	35300	35,300 (1982 SIL).
bba	BBA	brb	560000	460,000 in Benin (1995 R. Jones). Population total all countries: 560,000.
bbc	BBC	bto	2000000	2,000,000 (1991 UBS).
bbd	BBD	bau	3058	3,058 (2000).
bbl	BBL	ttu	3420	3,420 (2000 WCD).
bbn	BBN	bvi	10000	10,000 (1998 SIL).
bbo	BBO	bbf	53400	35,000 in Burkina Faso (1995 SIL). Population total all countries: 53,400.
bbq	BBQ	sis	5300	5,300 (1982 SIL).
bci	BCI	ble	2130000	2,130,000 (1993 SIL).
bcj	BCJ	brd	20	20 (1999 Claire Bowern). Population includes 16 Bardi, 3 Jawi.
bck	BCK	bnb	50	50 to 100 (1990 Schmidt).
bcl	BKL	bkl	2500000	2,500,000 (1990 census). 3,519,236 includes all Bikol languages.
bcm	BCM	bnn	1000	1,000 (1977 Lincoln).
bco	BCO	kll	2500	2,500 (1994 SIL).
bcq	BCQ	gim	173586	173,586 (1998 census). 149,293 monolinguals. Population includes 10,002 She, 1,070 Mer. Ethnic population: 173,123 (1998 census).
bcs	BCS	koh	30000	30,000 (1989).
bcw	BCW	ban	13000	13,000 (1987 SIL). Population includes 8,000 Gamboura and 5,000 Guili.
bcx	BCX	pna	106000	106,000 (1979 Barr). Population includes 100,000 in Central Sulawesi, 6,000 to 10,000 in South Sulawesi.
bde	BDE	bad	250000	250,000 (1993).
bdh	BDH	bka	26300	25,000 in Sudan (1993 UBS). Population total all countries: 26,300.
bdk	BDK	bdk	1000	1,000 (1990). Ethnic population: 1,000 (1990 A. E. Kibrik).
bdl	BDL	baj	90000	90,000 (2000). Population includes 25,000 in central Sulawesi (1979 D. Barr), 8,000 to 10,000 in south Sulawesi (1983 C. Grimes), 5,000 or more in north Maluku (1982 C. Grimes), several thousand in Nusa Tenggara (1981 Wurm and Hattori).
bdm	BDM	bud	54800	51,600 in Chad (1993 census). Population total all countries: 54,800.
bdq	BDQ	bpb	158456	158,456 in Viet Nam (1999 census).
bds	BDS	brn	13000	13,000 (2002).
bdu	BDU	bkn	105985	105,985 (2000 WCD).
bdy	BDY	bnj	10	10 (1983 R. M. W. Dixon).
bdy	BDY	bca	10	10 (1983 R. M. W. Dixon).
bdy	BDY	bwa	10	10 (1983 R. M. W. Dixon).
bdy	BDY	byu	10	10 (1983 R. M. W. Dixon).
bdy	BDY	gid	10	10 (1983 R. M. W. Dixon).
bee	BEE	bya	4563	2,829 in India (2000). Population total all countries: 4,563.
bef	BEF	beb	45000	45,000 (1998 NTM).
bej	BEI	bej	1178000	951,000 in Sudan (1982 SIL). Population includes 30,000 Hadendoa, 15,000 Bisharin (1992). Population total all countries: 1,178,000.
bel	RUW	blr	9081102	6,715,000 in Belarus (2001 Johnstone and Mandryk). Population total all countries: 9,081,102.
ben	BNG	ben	171070202	100,000,000 in Bangladesh (1994 UBS). 211,000,000 including second-language speakers (1999 WA). Population total all countries: 171,070,202.
beq	BEJ	bee	3200	3,200 (2004).
bev	BEV	bet	130000	130,000 (1993 SIL).
bew	BEW	meb	2700000	2,700,000 (1993 Johnstone).
bex	BEX	jmo	100000	100,000 (2004 SIL).
bfa	BFA	bar	480000	420,000 in Sudan (2000). Population includes 26,400 in Kuku, 18,000 in Nyangbara, 3,400 in Nyepu, 25,000 in Pojulu. Population total all countries: 480,000.
bfa	BFA	kuk	480000	420,000 in Sudan (2000). Population includes 26,400 in Kuku, 18,000 in Nyangbara, 3,400 in Nyepu, 25,000 in Pojulu. Population total all countries: 480,000.
bfd	BFD	baf	50000	50,000 (1987 Mfonyam).
bfi	BHO	bsl	40000	40,000 first-language users (1984 Deuchar), out of 909,000 deaf, of which the majority probably have some degree of sign language competence (1977 Deuchar).
bfq	BFQ	bdg	245374	245,374 (2000 WCD).
bft	BFT	blt	337000	270,000 in Pakistan (1992). Population total all countries: 337,000.
bfu	BFU	ghr	4000	4,000 in India (1997).
bfw	BFW	rem	9000	9,000 (2002 SIL). Few Lower Bondo are monolingual. Population includes 5,565 Upper Bondo and 3,500 Lower Bondo.
bgp	BGP	blc	1805000	1,800,000 in Pakistan (1998). 5,000,000 including second-language users of all Balochi languages. Population total all countries: 1,805,000.
bgq	BGQ	bgi	2099100	1,899,100 in India (2000). Population total all countries: 2,099,100.
bgr	BGR	baw	13793	4,439 in India (2004). Population total all countries: 13,793.
bgz	BGZ	bgg	100000	100,000 (1995 SIL).
bhb	BHB	bhi	1300000	1,300,000 (1994). Population includes 1,000,000 Bhil plus 300,000 Patelia in Madhya Pradesh. 12,688 Kotvali (1994), 5,624,000 in languages in the Bhil family.
bhg	BHG	bin	6902	6,902 (2003 SIL).
bho	BHJ	bho	26592536	24,544,000 in India (1997). Population total all countries: 26,592,536.
bhp	BHP	bim	500000	500,000 (1989).
bhq	BHQ	tuk	130000	130,000 (1995 SIL). Population includes 100,000 in Maluku.
bhw	BHW	bik	30000	30,000 (2000 Wurm).
bia	BIA	bdm	20	20 (1966 Voegelin and Voegelin).
bib	BIB	bis	581900	350,000 in Burkina Faso (1999 SIL). Population does not include the Bissa southern Barka region. Population total all countries: 581,900.
bid	BID	bid	14000	14,000 (1981 Jungraithmayr).
bif	BIF	bfd	41420	41,420 (2002).
bii	BII	biu	3000	2,000 in China (1999 Xu Shixuan). 500 monolinguals. Population total all countries: 3,000.
bim	BIM	bmb	120000	120,000 (2004 SIL). Ethnic population: 200,000.
bin	EDO	bni	1000000	1,000,000 (1999 WA).
bip	BIP	bia	40000	40,000 (1993 SIL).
bis	BCY	bsm	6200	5,000 in Vanuatu (2001 Naito and Tryon). Population total all countries: 6,200.
bjb	BJB	bnl	Extinct	Extinct.
bjh	BJH	bhn	550	550 (1998 NTM).
bji	BJI	brj	42731	35,731 in Ethiopia (1998 census). 29,259 monolinguals. Population total all countries: 42,731. Ethnic population: 46,565 (1998 census).
bjr	BJR	bnm	360	360 (1990 census).
bjy	BJY	blz	Extinct	Extinct.
bjy	BJY	dhb	Extinct	Extinct.
bkc	BKC	bak	28200	25,000 in Cameroon (1980 Phillips). Population total all countries: 28,200.
bkd	BKD	bkd	100000	100,000 (1987 SIL).
bkk	BKK	bkt	3000	3,000 (1981 census).
bkl	BER	brk	1200	1,200 (1994 SIL).
bkm	BKM	kou	170000	170,000 (2000 SIL).
bkq	BKQ	bki	570	570 (1994 SIL).
bla	BLC	bla	5100	5,000 in Canada (2000 SIL). Possibly a few monolinguals. Population total all countries: 5,100. Ethnic population: 15,000.
blb	BLB	bil	8740	8,740 (1999 SIL).
blc	BEL	bco	20	20 (2002 Poser). Ethnic population: 700 (1991 Kinkade).
ble	BLE	blz	393000	367,000 in Guinea-Bissau (2002). Population total all countries: 393,000.
bli	BLI	bol	100000	100,000 (2000).
bll	BLL	blx	Extinct	Extinct.
blu	BLU	hmo	1290600	1,000,000 in China (1982). Population includes 29,000 Bunu of the Yao nationality who speak it as first language. Population total all countries: 1,290,600.
blw	BLW	blg	21271	21,271 (2000).
blz	BLZ	blk	30000	30,000 (2000 R. Busenitz). 3,000 are monolingual.
bmi	BMI	bag	44761	44,761 in Chad (1993 census).
bmr	BMR	mui	150	150 (1982 SIL).
bmu	BMU	bmr	8253	8,253 (2000 census). 1,000 monolingual. Population includes 5,500 in Somba, 4,500 in Siawari.
bmy	BMY	bem	295780	295,780 (2000 WCD).
bnc	BNC	btk	40000	40,000 (1994 SIL).
bng	BEN	bga	3000	3,000 in Equatorial Guinea (1995). Population includes 400 on Corisco Island.
bnh	BNH	bna	100	100 (2002 SIL).
bni	BNI	bob	118752	50,948 in Democratic Republic of the Congo (2000 WCD). Population total all countries: 118,752.
bnq	BNQ	bnt	11000	11,000 (1981 Wurm and Hattori).
boa	BOA	bor	2828	2,328 in Peru (2000 WCD). Population total all countries: 2,828.
bod	TIC	jad	1261587	1,066,200 in China (1990 census). About 86% are monolingual. Population includes 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. Population total all countries: 1,261,587.
bod	TIC	spi	1261587	1,066,200 in China (1990 census). About 86% are monolingual. Population includes 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. Population total all countries: 1,261,587.
bod	TIC	tmo	1261587	1,066,200 in China (1990 census). About 86% are monolingual. Population includes 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. Population total all countries: 1,261,587.
bod	TIC	tis	1261587	1,066,200 in China (1990 census). About 86% are monolingual. Population includes 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. Population total all countries: 1,261,587.
bod	TIC	tib	1261587	1,066,200 in China (1990 census). About 86% are monolingual. Population includes 570,000 Dbus, 460,000 Gtsang, 40,000 Mngahris out of 4,593,000 in the official nationality. Population total all countries: 1,261,587.
boi	BOI	cba	Extinct	Extinct.
bol	BOL	blq	100000	100,000 (1990).
bom	BOM	bir	300000	300,000 (1993 SIL). Population includes Cen 2,000.
bor	BOR	brr	850	850 (1994 SIL).
bot	BOT	bgo	10084	10,084 (2000 WCD).
boz	BOZ	boz	117696	117,696 (1987 census).
bpp	BPP	kaj	450	450 (1995 SIL).
bps	BIS	biq	90754	90,754 (2000 WCD).
bpu	BPU	bon	854	854 (2000 census).
bqc	BQC	bok	110000	70,000 in Benin (1995 R. Jones). Population total all countries: 110,000.
bqp	BQP	bus	20000	20,000 (1998 Ross Jones SIM).
bqy	BQY	kkl	2200	2,200 in the village, out of 50 deaf people and 2,150 hearing people (1995 T. Friedman).
brb	BRB	bra	18444	12,750 in Laos (1984). Population total all countries: 18,444.
brc	BRC	bdc	4	4 or 5 (1993 S. Kouwenberg). 15 with limited competence (1989 J. Holm).
bre	BRT	bre	532722	500,000 in France (1989 ICDBL). 1,200,000 know Breton who do not regularly use it. Population total all countries: 532,722.
brf	BRF	bia	120000	120,000 (1992 SIL).
brg	BRG	baq	13	13 (2000 Adelaar). Ethnic population: 631 (2000).
brh	BRH	brh	2210000	2,000,000 in Pakistan (1998). Population total all countries: 2,210,000.
bri	BRI	bku	32200	32,200 (1982 SIL).
brm	BRM	bbu	25570	25,570 (1990 census). A few hundred living among the Bangba (1996).
brn	BRN	brc	5	5 women (1986 SIL). 30 to 35 nonfluent speakers. Ethnic population: 1,000 (1991).
bru	BRU	bru	129559	69,000 in Laos (1999). Population total all countries: 129,559.
brv	BRV	brw	20000	20,000 in Thailand(1991).
brx	BRX	bod	603301	600,000 in India (1997). Population total all countries: 603,301.
bsc	BSC	bsr	17910	8,835 in Senegal (2002). Population total all countries: 17,910.
bsh	BSH	ktz	18700	15,000 in Afghanistan (1994). Population total all countries: 18,700.
bsk	BSK	bur	87049	87,049 in Pakistan (2000 WCD).
bsn	BSN	brs	350	350 (1990 SIL).
bsp	BSP	bgs	4000	4000
bsw	BSW	bys	1010	1,010 (1995 SIL). Ethnic population: 3,260 (1994 M. Brenzinger).
bsz	BSZ	bso	8700	8,700 (1991).
